mercader camino regreso atravesar
bajar montaña quedar suspendido
realidad poder vencer liebre
fuerte detener puesto encontrar
gri tonzio gracias aquel
rápido fuerte tamaño fino
casi nunca terminar bien
si ninguno oportunidad ganar
hacer cosa tanto tiempo
vestido joya así gruñó
suponer razón después dibujo
sino deber preparar propio
pan astuto mujer horneado
mostrar nuevo dibujo reciente
primero hija poseer hermosura
bola rodar hacia estancar
dos estafador acercar emperador
temblorosa hacia cuello ana
transformar inmenso desierto nadie
poder probar sopo punta
ciudad señalar cómodo cama
irá quedarás casar limpiar
felicímetro automáticamente decir mejor
reunido urgencia galaxia vecina
vestido cinturita avispa saber
asusta niño alguien famoso
cuanto saber cuál parte
entonces cortar dos pedazo
ser bajo mejor quitaré
bestia acabar devorado insignificante
cinta seda rojo atado
hacer siguiente siguiente siguiente
tío conejo ir colina
sorpresa salir correr poder
desatar furia fijar escritor
niño entrado jardín través
grande espanto leñador decir
recordar llevar él teléfono
olvidar poner él sal
buque recibido daño vida
país joven oeste grande
alguien ver mal si
mirar sentir muchísimo rabio
abajo encontrar bocca chilla
espíritu malvado tomar forma
boca escoger soplar gran
suficiente seguir recortar día
después rey convocar noble
sol sol saldar él
siempre rodeado buen amigo
embargo nadie conocer hombre
río enseñar ser gran
papá troll tirar libro
gracia técnico bebé llorón
comenzar seguir él lado
peor cosecho diente vido
luchar aquel temible caballero
atrevir entrar pertenecer bruja
compota manzán niño frondoso
volver loca mover él
quedar atrapado extraño pompa
quedar sitio doctor recordar
él realidad lobo perseguir
poner bolsillo abrigo desmenuzar
terminar decir papás trolita
él gran jaula mientras
volar insulto tipo objeto
forma desaparecido brujo anular
igual demás dibujo aquel
terminar temprano acostar él
mañana lugar cuero dejado
lugar cara mostrar enfado
aparecer pequeño hada azul
siempre acompañado amigo formar
balanza juguet regalabar peso
triste niño volver meter
papás hacer crecer ala
necesitar ayuda urgente pez
crecer mucho casa escuela
encima camo salir corral
ausencio gigante regresar encontrar
suerte mayoría cosa importante
él aquel libro matado
amigo ser coincidencia encontrar
negro parche ojo enorme
conseguir mismo noche uno
utilizarla gran jefe hechicero
conocí conocer hacer bueno
pequeño aldea guatemala grillo
compañía vecino ver semejante
hijo contestar desprecio si
cuyo único interés vida
poder meter cosa nuevo
casi imposible encontrar él
cuanta nuez dormir cama
portar sonrisa dirigir si
saber dónde provenir extraño
decir oh naranjo oh
maldad hacer volar espejo
mientras caminar pensar todo
día revelar secreto extraterrestr
abrazar largamente junto terminar
llegar hora convertir él
fruta rosado frondosa rama
así arreglar echarar pueblo
advertir presencia llegado atardecer
zona imperfecto lugar tremendamente
presente nacimiento otorgar pequeño
palacio rey escuchar rey
pasar lado visto hueco
emperador llegar aldea reclutar
infinita duna arena escalar
antiverdura regalar él libro
plan marcha gato reunir
rey mino encontrar manera
tanto poco fruta verdura
día disponer coger primero
animal limpiar establo llevar
partida definitivo enfrentarir líder
contar él mundo victoria
tranquilamente palacio decidir dirigir
vacío siguiente todo demá
detener aquel locura diente
decir hecho huir todo
luciérnagar arrrrg salir bien
pasar tiempo lengua hechizada
uno poco carta cambiar
bárbaro abuelo parecer cada
golpe puerta voz allá
lugar engañarl animar buscar
violín sapo sacudir terriblemente
frijol hervir olla desprender
suplicante decir favor arbolito
correr colina arriba hacia
pértiga convertido fuerza repetir
poder adrián cerrar ojos
travieso año nuevo aprovechar
gente continuar histérico empezar
noche comenzar temprano cortar
mientras hacer bocadillo nunca
camino hospital pedir conejo
vez mercader deber emprender
corta grueso llamado anansi
tanto bien fin encontrar
dos pequeño duende entrar
niña pequeño ver aspecto
esperar todo noche madrugado
cielo oscurecer llenar estrella
barco barbadepegar dedicar tiempo
niño crecer rodeado militar
obstante punto dar él
satisfecho orgulloso mismo noche
demostrar saber hacer videojuego
gente país comidar libros
día chico ir pasar
dinero huevo comprar vestido
gana hacer cualquiera cosa
preguntar si poder cubrir
agarrar extremo cuerdo volver
audiencia pequeño propósito enorme
trompa eracer pluma pájaro
llevar raíz casa mostrar
té barra pan astuto
cantar jugar preocupar él
tanto peligroso nadie atrevir
caer papel pensar descarado
grande peluda deform demasiado
agua harín botello leche
zacaría miró buen tiempo
jugar conseguir alcanzar él
dar gracias zorro dejar
mago hacer espada allí
zacaría franco seguir volver
real desafinado músico probar
ganar amiga él sólo
pensar cosa horrible pensamiento
alegrar encontrar habitación lleno
cualquiera joven fornido lobo
mano nadar solo pierna
espejito espejito quién hermosar
rencor aquel decir escuchar
pequeño chilla gri tonzio
luego probar avén taza
broma pesado querer gastar
deber atravesar camino largo
sonido sabrer siempre lugar
vestido considerar situación padre
día poder atrapar él
nuevo rey objeto burla
ratoncito decir él déjame
empezar ver él mordisquedado
imperio decir consejero real
querer acercar él castillo
regresar lago pared baldir
seguir ser siempre haber
distinción provenir ser alto
monstruo seguir mismo hueco
dejar libre niña menudo
pequelibro regalar miran libro
hacer daño alguien responder
anansi decir coco encantado
despertar cada hora alternar
sentir lástima regalar gran
carne pajarillo saber tanto
mejor soldado nunca tanto
hora señor salcedir divisar
buen tiempo finalmente decir
magnífico poderoso tigre desentonar
querer ir tú tanto
naturaleza precisamente junto borde
sentir aliviado poder hablar
averiguar fallado concluir madre
así divertido fastidiar él
malísimamente malo nefasto idea
comida tanto poco magia
alguno título noblezo decir
regalar miran libro poco
él gotear frente luego
nunca tras pasar día
atrever tú entrar jardín
hacia grillo llamado pepe
haber colorear mejor pared
él pocopaco joven ladrón
volar poder ser mejor
cruzar único ayuda pequeño
bueno hermoso feo perverso
tigre detener carcajear él
él cariñosamente princés fuego
jefe diablo tirar cuerno
repente llegar calle resultar
solo cabezar uno persona
tía gallín ver frijol
emperador querer hijo decidir
visto comenzar jactar él
decisión hacer casa grande
perro negro tiró niña
dragón permanecer encerrado servir
vez animal comer árbol
tiempo responder taira lanzar
frijol humeant pegado cabeza
niño salir inmediatamente casar
así evitar muerte cada
tesoro comprar propio barco
día loplanto compartir pajarillo
zapato gallo malayo gallina
capaz pintar cualquiera cosa
jarra tanto pesado mover
ir bien cuanto encontrar
hablar bajo palabra salir
superior encargo tanto importante
pulpo pez zampárselos notar
observar regla deber hacer
cautivar acto noblezo palabras
campo decir primo entender
convertir él alguien valiente
suave pequeño parte mágico
exclamar feliz ranita mayor
decir aldeanos enojado colina
demá parecido sorpresa tanto
mañana mañana llevar hansel
mosca casar dos hora
inventar cualquiera cosa saber
barco arrecif rodear isla
malo trato tratar él
dedicar fabricar ruleta regalársela
zapato hombre pasar tienda
leña madre dar deliciós
aunque fama ser él
llorar musitar palabra solo
hombre niño bajar burro
mariposa pasar lado visto
haber él salvar día
tir pretender querer ayudar
sólo robado sino además
ruina seguir pista mágico
gigante vivir montaña solitario
él tener alguno posibilidad
llegar casa doctor reyes
llevar colgado cuello comenzar
surgido río poderoso fuego
abuelo muchísimo arruga sólo
salir volar aire capitán
obligado nuevo compartir magia
prado posar punta cuerno
caminar prís pausar cada
dibujado boca tanto torcido
pata delantero caer él
amigo trabajo rendido fruto
dragón meter jaula poder
grito madre niña poner
sorprendido día siguiente viajar
cualquiera necesitar mover él
cuello tomar extremo va
rojo observar asombro sentir
erdamal mujer poco suerte
atención ir pueblo misar
soldado lleno ejercicio aventura
llegar tarde perro gallina
dejar rinconcito librería biblioteca
viejo viviera solo escondido
menos miedo cada vez
antiem tallar nombre isla
citar maría juicio ordenándolir
intervenir pedir él tigre
rosa inmediatamente convertir oro
erdamal añadir pareces buen
cruzar reino negro seguir
bote cruzar río mercado
hacia atrás ver tortuga
jardín hacer aún blanco
logrado esfuerzo sabiendo si
alín morir curiosidad saber
escuela casa comenzar seguir
amenaza provocación entonces ocurrir
llevar él juguete suerte
calle sacar nuevamente flauto
hacer castillo aire luego
diente decir conejo clavarla
color carta amor incomparabl
él planear venganza noche
joven ladrón cara tontorrón
agotar completo dejar nadar
mano desaparecido usar él
llegar encontrar dios dionisio
ir mercado gritar todo
entonces dar cuenta mal
tiempo aprender leer correctamente
enorme trozo queso cuervo
montarar gran lío llegar
tomar collar par aret
lloroso humillado medio ahogado
hacer marioneta madero pino
campeón carrera éxito vuelto
comadrejo pato liebre ardilla
dejar rana quedar aquí
espejo hacer tiempo así
poder lanzar calor tierra
tirar vez poder arrancar
saber espejo siempre decir
apenas conseguir llegar orilla
ser artista volver crear
ver tanto fresco sombreado
resplandecir rayo sol luz
siguiente alicia realizar precioso
desear ser conceder rey
dejándome borde muerte quedar
robo ser éxito escapado
cómo dejar ser troll
mida encantado tomar él
día decidir hacer cuanto
sostener bandeja cubierto pescado
oído emperador majestad príncipe
cobrar vida convertir monstruo
poderoso mago ir repartir
parecer tener fin así
mismo delante príncipe recibir
inteligencia así armar gran
hoy cada mañana seguir
mirar enorme estatuo ojo
exagerar verdad nadie poder
isla último caníbal preferido
todo mañana encontrar par
duro colegio dar bocadillo
pasar tanto rápido pez
grito alegría frido arrodillar
vecino yacer tesoro imposible
intentar engañar tortuga día
nivel decidir regalar él
pluma pájaro caparazón tortuga
medianoche cerca cabo buen
terriblemente mal responder joven
hoja peor libro mundo
combate perdido contar joven
ver brillar anillo cielo
tomar libro atrapar imaginación
ver él precario situación
reunir zanahoria boscar cazar
luca entrar nuevo casa
tiró niña niña tirar
disculpa responder hombre voz
tendero trozo mejor cinta
comenzar aplaudir gritar don
muchísimos año esconder él
reciente escultura último melodía
patizombi zombi bueno cazar
antiguo reino deber elegir
escarcha primavera olvidar jardín
cubrir triste roca gris
foto animal siempre alegr
alcanzar uva encontrar lejos
érase vez tres cabrito
esperanza encontrar montaña dispuesto
decir escuchar mejor hablar
ciudad buscar joven marinero
sabidurío además dotar don
voz sandía poder ocurrírselir
traje entero color sangre
pelo cabeza sueño fin
lleva él lugar remoto
rival ficha negro sentir
embargo cosa parecer mejor
sirvient cubrir cabeza sombrilla
después salir casa ver
conejo huir saltar alegría
malo apenas agua planta
hombre agachar rascar él
astuto campesino dueño pequeño
cerdo fabricar ladrillo sótano
alguien perder paciencia acercar
ventaja ser rán mejor
plantado hombrecillo seguir camino
rabia poder llenar él
dolor provocar sensación agradable
disparar cañón ejército finalmente
llevar mantequilla envolver él
gustar ser amigo aquel
recibir fuerte abrazo mágico
agradecido pueblo encontrar forma
ratito tanto bonito quier
papá víctor impedir él
así deshacer arpa tirándolo
luego cruzar puente llegar
patito feo sentir triste
remoto isla creto aparecer
leer zepir rete comenzar
si poder cumplir promet
discurso sorpresa solo encontrar
haber llegar luchar ninguno
siguiente viajar llegar casilla
curar miedo entonces dedicar
brillante dueño apenas mover
día desanimado llorar junto
levantar visto hacia rama
peinado horrible pensar tanto
ejemplo distinto nivel inteligencia
oonagh ayúdame esconderme decir
mover ágil dedo superficiar
hado ser atacado hechizar
desconcertado extraño petición acercar
piedra precioso atado cuerda
difícil resignado vida pasar
maravilloso decidir perro ojo
deshacer aquel lío tentáculo
palabra tampoco saber viajar
cruzar río mercado vecino
cola enroscado allí vivir
obra llenar polvo suciedad
extremo alrededor cuello tomar
haber él dejar engañar
flauto comenzar tocar él
tres mordisco poquísimo tiempo
conseguir enfadar príncipe cada
león aún enfurecido causa
volver llenar él luz
planta abajo encontrar bocca
detective rápidamente bosque buscar
seguro nadie entrado habitación
pececillo necesitar ayuda urgente
cuidar niño persona tierrir
blacky pertenecer pequeño equipo
lío tentáculo poder mover
claudio ayudara efecto luz
mala mundo devolver dueño
mundo ninguno lugar poder
día después pulpo descansar
mejor súper decir volar
tigre pensar poder ganar
pepo tanto sorprendido contento
niño recibir tanto globo
pingüino emocionado correr torpemente
deuda continuar apelar él
mida gusto exclamar apolo
hecho fastidiar él haz
pena sentir decidir luchar
ver lobo cerca rebaño
maratónicamente casa alcanzar bosque
asunto deber ser resolver
cama armario despensa robar
visita sirviente emprender viaje
atención hacer detener enorme
si dispuestir cuidar él
gri tonzio magnífico inventor
decir ratito ratito ratito
celebrarer primero olimpiada videojuego
bebé pastel demá suave
mañana siguiente dos ratón
azul llegar taller anciano
ninguno campesino ocurrido llegar
arruga guardar día aprender
milo descubrir ojo nika
asegurar ratón sino ave
cantar deleite flor asomar
inesperado respuesta mismo marinero
aliviado poder hablar abuso
debajo cama saber ratos
malo escapar responder supervelocidad
cerdo cola enroscado aventurar
seguro sabía dragón quedar
poner yo diente castor
cálido pluma ala desprender
excús tanto invento guerra
decir liebre mucho desconfianza
bella bosque lugar arrancarla
plan arriesgado ayudar escapar
saber cofre vulgar corriente
segundo hija responder amo
anciana niño niña perro
pérez tampoco ir renunciar
momento mosquito atacar león
aunque animal bello exótico
reino ficha blanco aplauso
decidir aterrizar lugar apartado
tortugar descansar orilla río
invasor mientras buscar forma
tanto fantasmal casa abandonado
negro acompañado hormiga rojo
bufón ir vencer truco
mostrar ofendida aparecer joven
acercar él rostro tenue
decidir sustituir él pin
mes año siempre desafinar
trabajo mamá marto dejar
rojo decir noche desatar
poquito tiempo aún acostumbrado
entrenar preparar corazón luchar
colgado cuello comenzar tocar
pasar querido amigo decir
viejo hechizo congelación cuento
gran revuelo teatro abarrotado
varitar loplanto hacer surgir
atrapar uno cuanta luciérnaga
pin descubrir enseguida elsar
pasar río desaparecer espesura
obtenido permiso visitar tierra
joven cultivar año mayor
esperar canto mujer hombr
mostrar él asombroso sandir
siempre honesto dedicado preocupar
roncar cansancio anansi buscar
cachorra bobos ir ver
vién mostrar cómo decidir
soplar tras varios noche
plantar maíz cortar maduro
tardar hacer él amiga
hacer cosa manera hacer
disponer coger primero juguete
pasar tiempo agua fangosa
llevar largo capa formado
zancadilla mamá sánchez gritar
furioso olvidar anillo poner
palacio encerrar habitación lleno
embargo vergüenza hacer tremendo
forma dudar crear nuevo
gris tirar gato blanco
noche llegar lujoso casa
vez brujo malvado noche
día siguiente llegar amigo
orgulloso tener hijo contar
país vecino dar luz
hermanito sabré dominar él
contar secreto mamá ver
plateado mecir suavemente ventán
cansado vida según cuenta
casa madrín dar barra
dejar escapar chirrido tanto
nuevo ráfaga letra ácido
bebé llorón diablillo poder
pasar invierno estancar pantanoso
aldeanos enojado colina abajo
hombre tanto largo afilado
jaime llevar mano temblorosa
descarado tío ir tirar
hambriento escarbar tierrar buscar
niño rescatado mar llamar
dejar hombrecillo seguir camino
jaular grande barrot acero
malvados ojo aquel brujo
cuanto deshacer cerdo comenzar
tío conejo gritar abrir
convertir poderoso fuente alegría
larguísima nadie dar cuenta
prácticamente botón pulsar trompa
alguien responder hechicera bosque
conseguir bajar él humo
cien vez goldi princesa
permiso primero humanos aceptar
fotógrafo oficial sabán todo
hermoso color delicioso olor
cuenta recortar palabra importante
escuchar maría furioso decir
sitio casa resultar aún
reunido sala juzgado guardar
diferente enterar él existencia
ir correr esconder él
entonces solo pensar deshacer
genio conceder deseo picador
conseguir encerrar él gran
embarcación mano nadé alcanzar
primero libro conseguir acceso
pasar día siguiente séptimo
luciérnaga poner farolillo débil
importante cuento comer palabra
sentir tanto triste niño
promesa decir promesa promesa
egoísta asomar él ventanar
momento sentir cosquilla salvaje
delicado papá troll tanto
diez moneda oro ahorrado
guapo cada arruga aparecer
mantequilla siempre esconder bajo
fiar aquel policía valle
lograr escapar atravesar enorme
rellenar cualquiera hueco dejar
aquel lugar suplicar toni
cumplir dieciséis año pinchar
luego llevar sigiloso guarido
hormiga siempre ver cigarra
prender veladoro ser perdido
demás fuerza poder siempre
así simplemente deír gracias
extraterrestr contar secreto llegar
farolillo débil luz emitir
tanto tanto enfadado noche
comenzar quedar él fuerza
tío conejo querer dejar
triste mundo tanto gustar
escuchar voz decir mirar
día leñador trabajar descanso
blacky hecho jefe descubrir
intentar todo manera cultivar
chilla descubrir comenzar quedar
ejército finalmente bombaterremoto derrumbar
llenos rabio envidia encadenar
correr torpemente orilla vez
metro decena dragón rodear
aquel moda tanto divertido
acercar lugar proceder voz
caminito casillas blanco cruzar
benandonner dar mordisco dejar
vez quedar dormido silla
pico rabo garra hocico
sólo cara sino todo
suspirar decir malo suerte
tí gano concurso jurado
así llamar tía eleonoro
aplicar pocotón maquillaje colocar
barba rubio violento presuntuoso
entonces hijar menor presentar
tiempo aguantar pegar nadie
excepto pececillo gentil simpático
yo maravillar proezas grillo
deber coger cuerdar atar
picándolo nariz orejas cola
barco provocar gran incendio
patitar corta justo entonces
hueso llevar caer río
él joven príncipe comenzar
taza té barra pan
rumbo hacia isla último
veinte vez casi siempre
dos reflexionar asunto buen
espada allí espado perder
llamar tontín despreciado burlado
sospechar asesino malvado zepo
diente garra hacer menor
hormiga pedir comer hiciste
cerca cabo buen esperanza
parecer mejor segundo escuela
hacer evidente velorio acudir
enseñar diverso art hera
duro dentro ahí surgir
animal bello exótico parecer
día majestuosa fiesta servir
cansado dol agujero sábán
través jardines tocar hermosa
deber tener aquel niño
puntilla estirar brazo intentar
medio vuelta tranquilamente dirigir
empezar comprender frase palabras
así volver él listo
sombra frondoso árbol mango
rán desagradar muchísimo princesa
detener decir asombro coco
difícil libro subir estantería
dirigir nevera preguntar si
descubrir cerdo regordete prado
chocolate siempre peligro responder
tanto fuerte atravesar piel
cenar lujoso restaurante ciudad
ganado tanto concurso belleza
carretera memoria cómo cuándo
semana mes mes año
si lograr demostrartir ser
punto desmayar él sentir
pudistar cambiar único poco
colorear visto falta pie
manera desterrar horripilante criatura
encerrado enorme bloque hielo
solo necesitar crear obra
rato pasar sentir tonto
juan miró caldero todo
sonreir hado azul tocar
cosa parecer mejor segundo
salir paso hombrecillo gris
mover lentamente través oscuridad
liberar aquel bruto acompañar
polvo suciedad sitio casa
lanzar él primero tiburón
caperucita rojo poner él
invierno aconsejo haga mismo
decir escúchame bien quédate
mientras esperar tita enterar
libro verdura quedado estupendo
preocupar actitud poder ir
tierra violín sapo sacudir
pensar mal sueño mañana
actitud víctor patio recreo
salir día casa ir
aunque emperador querer hijo
preferir dejar comer manchar
poco día hijo granjero
barbadepega decidir abandonar barco
esperar tita enterar doctor
llenar alegría aquel momento
venerar fervor quetzalcóatl dios
cambio simón llegar bastante
efectivamente ahí nadie amable
cony compró entrar cuidado
calma poder comenzar increíble
taira pasar alguno tiempo
brujo malo malísimamente malo
príncipe preguntar joven cómo
gente gritonar nunca faltar
llevar trozo pan labio
lanzar objeto air golpear
año si monstruo verdad
entonces oir uno voz
cigueña presentar hora acordado
pensamiento miedo llevar rendir
lugar seguro pastel helado
llévalo valle inmediato quizás
lección ordenar bañar él
saber día campesino llegar
trabajar infinidad invención mirada
ver cómo enemigo derrotar
cigarra descansar responder guardar
anterior rey selvir tras
primavera crecer junco lugar
ventana dar golpe vez
demostrartir ser alto mejor
casa habitant parecer pequeño
pequeño desgracia mágico quedar
sentir él inconfor yo
dulce flor colorida perfumada
llevar vaquito pueblo dinero
guisante través veinte colchón
malvado señor silencio saber
comenzar perder paciencia pensar
pareja despedir maría luisa
rey selvir tras perder
cansado vivir peligro ratón
acabar hospital pasar buen
abrazo dejar alguno juguete
cumplir año celebrir fiestar
magia poderoso vez pensado
siguiente animal bosque reunir
inmediatamente correr correr rápido
casa grande cada ir
emperador majestad príncipe antiem
acercar él noche padre
hacer tanto bien fin
comenzar beber zumo libro
terminar crear mundo dios
mismo titular feliz navidad
robo cada ladrón desaparecer
hacer juguete madero niño
páramo trabajar sol sol
desesperado deshacer él joven
oscuridad casi todo noche
ninguno visto comenzar jactar
cómo acabar apuntado listo
ser amigo gran ayuda
abrir puerta entrar jardín
decir favor ser codicioso
dibujar día mal humor
momento recoger papel encontrar
mala hierba invadir cosecha
lobo sentir cómo garganta
pues saber animal astuto
cosa gán partida año
emprender camino colina abajo
llamar decir abuelito bien
grito protesta personaj secuestrar
cigüeña poder negar él
nunca salgar aquí seguir
orilla percatar río crecido
enfrente decir bien dragón
poner acuerdo traicionar yo
mil secreto existir palacio
nombre dos vez olvidar
llegar manu nochir dar
próximo visitante aquel mágico
mochilo desordenado aterrador niño
confiar juan mamá nunca
distinto aunque color opuesto
imposible hacer nevase hacia
hechizo probar abracadabra supercalifragilisticoespialidoso
cualidad superar belleza físico
manera hacer crecer ala
niedeck ahí poderoso gigante
cocodrilo sentir orgulloso piel
zorro rayo refugiar bajo
él defender ratón aún
sonrisa dirigir si hallar
destruir calzada evitar visita
protestar hijo puesto menos
miró hacer demás animal
familia dín ir vivir
casita estupendo roca buscándole
gigantesco detener decir asombro
princesa llevadas lejos allí
repente ver cuervo copa
a él poder volver
él fortuna querer menos
juicio acudir recoger él
vez viejo historia aventura
siguiente pin investigar cuanto
rey todo bestia acabar
maestro hacer enfadar fondo
entonces niño disfrutar cada
amigable recorrer gran parte
menos cartel decir seguir
sorpresa rey midas enterar
luciérnagar poder encontrar camino
luchar capaz inventar cualquiera
pobre niño ahora dónde
reyes pedir permanecer sala
tanto agudo escuchado pueblo
seguir marchar frente tocar
izquierdo pony solo mordisco
jardín completamente rodeado muro
idea compartir plato habitación
hambriento detener lado camino
escuela rana salir rana
pata pequeñitar pinzasloca sentir
uno excelente divertida mascota
contar hijo cada noche
torre cimir alto jaula
impulso saltar todo fuerza
provocar conseguir acabar aquel
escuchar empezar cambiar decir
mucho palabra aprender viajar
caer torre casi tocar
sonrisa escueta preguntar cuál
tortuga encontrar poco paso
sólo contener pequeño cohete
creer sandía poder hablar
salir descubrir tampoco dibujado
pasar día día bajo
pasar ciudad buscar joven
poder leer primero libro
querer ser rey decir
todo magia fortuna reinado
él gran soid poderoso
pasado tanto bien perro
fruta olor dulce amargo
hermoso libélula trazar estela
inventillo seguir pedir él
dedicar cantar jugar preocupar
ninfar río reaparecer hacha
dar poco hachazo golpear
viaje caminito casillas blanco
besito mejillar tres cerdito
acostumbrado cráter seguir paso
pasar miedo tirar ruleta
así panadeer siempre lleno
palabra joven amar olor
creer tratar bromo pesado
frijol labio tía gallín
quedar lejos juan poner
tanto pequeño elegir hacer
oro permanecer ahí día
casa mundir nunca comido
tanto fuerza capitán marinero
miró ventana ver padre
cualquiera hombre poder desear
sabán todo parte acud
racimo uva grande jugoso
escribir precioso cuento navidad
tanto comer llegar noche
después pulpo descansar uno
púas eracer llama tufo
color ropa maría josé
descubrir aquel pompa simplemente
juan querer saber ana
encontrar enorme montón pieza
él poner él marcha
delante gigantesco pez este
poner título terminar colocar
érase vez leñador diario
intentar alcanzar uva encontrar
él reconocer casa arreglo
luego zeus ordenar herm
pues preparado vivir vida
feliz vida poder ser
pausar cada paso alejar
rodeado muro piedrar ninguno
nieto perro negro gato
fin comprobar cumplido órdenes
jardinera hermoso rosal delicioso
ver si poder ayudar
idea tanto magnífico miguel
nika resolver salir cada
fruta querer siempre observar
sujetar volar metro decena
juan poner caldero tierra
demasiado lleno chatarra cosa
plato libro gruñeron papá
uno montaña ver pequeño
señor saber usted cómo
gallinero oscuro luciérnagar abrir
dárselo niño marchar feliz
mitad hombre mitad cabrar
reino negro seguir caminito
parecer invisible noche volver
árbol decir tío conejo
lado diferencia dar paseo
luisa llegar casa doctor
recordar ahí ír poner
tener él alcance mano
tercer intento soplar viento
levantar nube polvo desaparecer
responder llamado voz desconocido
compadecido paloma dejar caer
hierro remolqué reino entero
viento comenzar soplar resoplar
pacienciar hacer primero amigo
magnífico tigre imagen perfecto
lugar pueblo pueblo plantar
interés vida vestir él
pequeño malvados ojo aquel
segundo vez sumergir ninfar
gente despedir él jefe
invitar dormir casa resguardar
ocupar trabajo refutar anansi
él lágrima adrián llegar
descansar responder guardar provisión
loco alegría aceptar cambio
pedistir red romper creo
abundante mientras ladir malo
invierno ventana opacada nieve
cuidado guardar él dentro
conseguir acabar aquel familia
cara hacer pasar bruja
débil comenzar impresionar resto
mago morir proteger libro
según hechacer día campesino
duda compañera ideal cualquiera
triste soler hacer ratoncito
formar suave aquel menos
descubrir tampoco dibujado puerta
enano aprender duro siempre
caldero tres pata madre
dibujar recortar pegar colorear
comenzar salir trabajo mamá
pensar llegar momento enfrentar
cada año alguno turista
usted pariente amigo difunto
adelante visto llevar turbante
