text	class
i was feeling frustrated somewhere between season and season of ccs anime and found the anipike website and that there were fanfictions written about ccs characters	0
i forgive myself that i have accepted and allowed myself to express myself in such a way so that i could feel superior and more than others	1
i woke up this morning feeling like the unfortunate drain cover that a href http www	0
i was feeling the shake shack love this day i guess because i look like a hamburger with dirty clothes and hair because my luggage hadnt come yet	0
im feeling thankful for books york peppermint patties finding a roommate this year who has become a very dear friend of mine blake	1
i feel so uptight and tense	0
i met a really cute girl who i feel kind of fond for today and normally girls are really complex to me but i can just be myself around her	1
i feel extremely drained of energy	0
i feel that language is nothing at all cheer up remain my faithful only darling my everything as i for you the rest is up to the gods what must be for us and what is in store for us	1
i do not feel miserable at all because my family is not the type that celebrates eid	0
i usually just feel aggravated with the unprofessional attitude of the rest of the cast	0
i do feel agitated restless or on edge quite often	0
i feel like going out with friends and having some wonderfully innocent youthful fun with	1
i feel that i ll be doomed to long pants and ugly shoes for the rest of my life and i m not even yet	0
i might have a potential job on the line so i m feeling generous	1
i am feeling doubtful that nutritional methods alone will solve the problems	0
i feel so deeply loved by her in a way that it disorients me	1
i was feeling kinda discouraged because i was stuck but today i proved to myself that i can do things that i didnt think i could do	0
i feel like life is too good to be true	1
i feel extremely jealous when ranbir works with other directors ayan mukerji filmfare	0
i have spent the last few weeks feeling sort of uncertain if you will	0
i feel ok much better and stronger than i did a few weeks ago	1
i feel more mellow about this move than k is	1
i still feel innocent and small	1
i feel like federer is more talented player for sure	1
i remember feeling impatient with her and even struggling to like her at times	0
i feel we forget just how fearless we truly are	1
i feel strange being thankful when such awful things on the other sides of the oceans that surround that country happen on a daily basis	0
i feel slightly unimportant	0
i feel so privileged to be part of this and in my own way keep some of the traditional skills alive of course with a little ballistic owl magic	1
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path	0
i can t decide whether to go with low hung or low slung feel free to leave a preference in comments and i m aware i ve now moved on from death to embalming	1
i was nannying my kids could definitely snark back at me when we were feeling bitchy but i feel that sarcasm should be kept away from children s clothes	0
i rarely feel hesitant to say something sometimes even too much	0
im feeling a bit scared to consider putting myself out there by posting my work on a website frequented by professional artists but i decided to suck it up be a big girl and ask for feedback	0
i feel frustrated for her when i read those chapters	0
i was tired sore and didnt really feel like makin the mile trip to church i was ecstatic to be there and enjoyed every minute of it	1
i remember feeling so helpless i had been a mother for no less than hours and i had already failed my daughter	0
i want to come out about it but i feel so reluctant for some reason	0
i neither ask for nor deserve to feel frightened when any kook puts me in danger for any reason	0
i was up early today to vote before the lines got too long and i didnt have that feeling at all but i was uncomfortable for another reason	0
i wonder does anyone ever feel particularly inspired or moved watching question time these days	1
i almost always feel fantastic after i exercise so i recommend doing it every day if you can	1
i really feel very bad	0
i feel about this totally and completely pissed angry sad disappointed and absolutely furious at tough mudder the biggest rip off on planet earth	0
i feel that if i met the author that we would get along because the writing seemed more friendly than formal	1
i remember feeling uncertain about what to say well erm we are trying and my period is due this week so erm	0
i ended up with a perfect studio and now when i walk into it i feel aggravated yes it is bizarre	0
i wasn t on a diet or looking to lose weight i just wanted to feel more energetic brighter less lethargic amp try to control my sugar cravings	1
im feeling slightly empty right now as if i want to reach out my hand for someone anyone to hold	0
i feel like i am doomed to spend the rest of my life in customer service i	0
i only talk when i feel like i have something valuable to say	1
i don t know how it works but asking for divine assistance certainly makes us feel more graceful even when our situation remains the same	1
i feel like the awkward outsider and start to feel homesick	0
i read and appreciate all comments left but if you have any questions or concerns feel free to email me at contact	1
i know that feeling myself the strange sense of serendipity where minds collide between pages	0
i feel when you are a caring person you attract other caring people into your life	1
i feel like ive been held back a lot this summer with soccer and my mom not trusting me	1
i feel like an idiot for looking a bunch of keys that weren t there and i m getting frantic about nick not letting me in for forgetting my keys	0
i didnt feel there was anything special about it	1
i wonder if they ever feel any pain or sadness because they always seem lively	1
i was feeling too agitated to read and it was too hot out to walk	0
i realized that i m feeling artistic in the extreme because the justice center has not been very kind to me lately	1
i made for the bee has left me feeling pretty terrific	1
i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult	0
i feel it s a bit of a from how i was dressing in summer with mostly jeremy scott murua amp glad news	1
i always love working with different designers for the first time especially when i feel they are talented innovative and fun	1
i feel like this is like fake bogart said at one point in the show	0
i was feeling very passionate and connected to treating the population of kids with sexually maladaptive behaviors	1
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended	0
i was coming back to the couch was tough but i was feeling ok about it	1
i feel content without knowing the rest of their story	1
i have the feeling that she was the super agent we even found out that while she is good at shooting she is not good at shooting at a moving truck	1
i just havent been taking much action in my life rather leaving it at status quo probably not a good idea but i feel that things exist at such a delicate balance that i am afraid if i lunge for what i want the whole thing will crumble and i will be worse off than before	1
i have this feeling whenever i write a song and if i think that the song has legs enough to be popular or for people to really respond to it i get this feeling	1
i feel awful but i just don t know how to get a child to write letters draw certain things or make up words with the paper letters i had to back onto card laminate and cut without totally losing my shit	0
i am feeling brave and lucky kind of like my heart is breaking and im falling in love all at the same time	1
i lie in bed or is it a coffin it feels more like a coffin not altogether unpleasant just very still i push my legs together and cross my hands i try not to cry i sink downwards hoping for a prick a poke a tube of fluid a needle of	0
im feeling so productive today	1
i had a feeling i was doomed when i discovered i liked doing pap smears on family medicine	0
i will feel so glad to go sing me to sleep sing me to sleep i dont want to wake up on my own anymore	1
i feel as i did when i was troubled easily agitated and indecisive	0
i have even a time or two found myself feeling a bit jealous of the mothers who had perfect babies who have been sleeping through the night since they were three months old and speaking in sentences by age two	0
i feel so betrayed and humiliated	0
i finished sailing i would feel so invigorated	1
i don t see december as the month of happiness counting down the days until christmas this doesn t feel like the season to be jolly anymore	1
i really do feel it is beaten into us to breastfeed	0
i feel so privileged to have been able to see this amazing exhibit	1
i feel very low already	0
i think the ideal preparation for birth for anybody not just me puts you in a place where you feel confident in your knowledge in your caregivers in your support system and in your body	1
i was wide awake and miserable at am still feeling like crap when i got a very pleasant surprise	1
i just decided to put a closure on the irritant and avoid them altogether or make their presence feel equally unwelcome	0
i feel so useless when im stuck in those situations	0
i love female vocalists though admit to feeling slightly embarassed of the femininely romantic theme of this piece	1
i confess that i was feeling nervous as i made my way to the event venue	0
im excited and i feel like this is a project that i can be passionate about and totally immerse myself in	1
i am starting the menopause constantly suffer with mood swings temper floods of tears unable to sit for long periods and concentrate feel constantly weepy and on edge feel unable to cope with the day to tasks of ordinary life	0
i feel less agitated but a bit more sad sometimes	0
i am feeling foolish for taking lb to the e	0
i hate feeling like im not strong	1
i feel groggy this morning	0
i feel so shitty about wearing you out	0
i feel naughty and dirty sometimes but this gives me certain pleasure so why not	1
ive sat there and wondered why a guy i liked hasnt texted me calling is not really my thing it makes me feel too awkward or why when he seems all efforts to the contrary he wont take a chance on me as his girlfriend	0
i woke up even more tired than the night before and feeling groggy	0
i thank him when i feel so utterly defeated	0
i feel a bit like a naughty child because i wasn t sure i d do a post today	1
i can feel a little better about sunday maybe i can continue that good feeling and get back to the little hot bod i once rocked	1
i understand feeling alone and lonely like you may never be really known	0
i watched on thanksgiving this morning i am feeling doubly blessed for what god has given me	1
i feel empty and dim if i miss that	0
i feel so honored to have been the one chosen to stand on the sidelines of this journey of his cheering him on and watching him excel and grow into one incredible doctor	1
i still need to brush my teeth but i have already taken my pills showered and eaten breakfast so i am feeling virtuous for a moment or two	1
i desire something i am more likely to feel appreciative of it than if i feel entitled to it	1
i feel slightly emotional watching it	0
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain	1
i admit to feeling sympathy with the dignified and the defiant	1
i feel about watching romantic movies	1
i go back to that day however and hear jesus words the son of man has authority to forgive sins on earth i feel electrified and doubtful	0
i feel fine which is good enough on a sunday evening	1
i feel very contented and happy upon seeing him	1
i feel unhappy it is no help for me that other persons say that i am happy how much truth there may be in it	0
i do meet that i do date will continue to be sources of apathy or worse people whom i feel i have wronged or in whose confidence i act in bad faith	0
im feeling stressed and tired and after that flight i really dont want to get on another one	0
i ever start to feel successful at all things life again	1
i feel less stressed driving a hard route than being the passenger	0
im looking forward to feeling hopeful instead of hopeless	1
i feel the sweet red leaves	1
i was sleep was vey irritable and feeling paranoid because i work the oncology dpt of a hospital and feeling paranoiud cancer and through chemo	0
i feel when you dont talk to me my friend so loyal and free i dont want it to stay like this i want to have that bliss	1
i have a feeling that christ welcomed corey and then whispered youve got some work to do son	1
i prefer to feel valued than just save money i prefer to work with people i know personally	1
i have been starting to feel drained	0
i can feel it in my aching bones	0
i hurt their feelings for refusing to listen to their spiteful hurtful sniping at others	0
i love everything that were learning about and feel really passionate about design	1
i feel useless and gross and cant seem to find one positive thing about myself	0
im not going to fix things with ml either by feeling awkward and frustrated and annoyed at some things she does	0
i feel something about physically seeing your problems where the hurt stems from seems to be very therapeutic	0
i feel completely lost	0
im also feeling pretty paranoid a lot and no i dont take drugs	0
i told you i never wanted you to rot in hell and most of the time i wished i was just less stupid and clumsy so that you will never ever feel unhappy	0
im feeling unimportant or sorry for myself not at all	0
i feel sort of foolish it was actually very easy and what she was asking made complete sense once i got there you have to bind off the neck and work with the shoulders separately hence the need for two balls of yarn	0
i feel it aching in my chest	0
i still feel very very disheartened	0
i can make them laugh out loud i feel a keen sense of accomplishment	1
i perceive you feel the dint of pity these are gracious drops	1
i feels acceptable even desirable	1
i feel gentle hands careess me with tender care across my curled shoulders and pulled towards embrace the sun reaches towards my searching face	1
i feel very privileged not only in being able to share in her artistry but knowing she has my back	1
i had pocket qq and was feeling pretty confident lol	1
i had hoped to not feel the weakness to not be bothered by every song every joke i hear	0
i recently mentioned i feel savage worlds isn t doing a good job modeling the kind of story robin and i are telling in our current duet game and i m willing to experiment with another system	0
i feel a little frustrated an ache of longing has settled into my heart the weariness of life his slipped around my shoulders like an unwelcome friend	0
i will explain here the areas i feel are vital to a successful experience and then i will pinpoint how i plan to assess those areas	1
i feel sorry for you guys	0
i swamp uncaring unfeeling fucked up apathetic humanbeings who wont pull their heads out of their asses long enough to turn around and look at me and say i see you	0
i don t feel pretty when i m in cardiff	1
i feel a tender compassion glancing at her huge and heavy rucksack	1
i whipped my stuff up from my station and fled to the underbelly of grand central desperate to find a subway map feeling disgusted with how upset i was over my frazzle y meltdown	0
i don t feel awful enough to call them because i am exhausted	0
i feel sure that i wouldnt have gained so much weight without the help of bipolar medications	1
i feel those artistic yearnings in my music and i know that if i was to provide for a family and couldnt do so with the gift god has given me it would be very very hard	1
im feeling stupid	0
i visited her this morning they had her up on her feet and she was sounding quite cheerful so im feeling very pleased	1
i feel fantastic now but am terrified of injuring my back again we provide our sizes for the following items	1
i have the power to make another do what i want but in reality feel threatened and desire to control this other person so i am not a href https eqafe	0
i was feeling so stressed up whenever he doesnt sleeps because i am out with my friends	0
i feel drained or do i feel energized	0
i feel hot irritated and tired	1
i feel honoured to have been able to call them friends to share their brotherhood	1
i think this would be fantastic as i feel the over nutrition of children is suffering and that over of all children are obese	0
i got this very sexy latex outfit from their lucky chair it made me feel very naughty the hair is called hungover and it is free by a href https marketplace	1
i am feeling a little lost without it	0
i feel really pretty with this makeup haha	1
i remember the same giddy feeling of contented good fortune lucky lucky me here safe in our cozy home watching my fabulous man head off for the day knowing he ll be coming home to me in a few hours	1
i feel my brain damaged are getting worst for dis moment	0
i don t feel like myself when i am studying probably because i am not studying anything i am passionate about	1
i feel like this is like fake bogart said at one point in the show	0
i feel it would be pleasant to have a cigarette there is a sort of deep rooted memory of enjoying sucking that carcenogenic smoke into my lungs but i believe that feeling of pleasantness is an illusion	1
i feel will be amused as well	1
i didn t like the first book should have stayed with my gut feeling on that one liked the second book pretty well third book was a little better and i hated the last book	1
i could only see and feel the poison in my veins which deprived me of the strength and the ability to feel the joy i knew held me	0
i am feeling only slightly lethargic and overwhelmed by my new surroundings	0
im feeling lucky button on google	1
i feel thrilled this will all be over in a matter of days	1
i am in no way complaining or whining or feeling ungrateful	0
i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard	0
i like about dating him is how outgoing he is which makes me feel more at ease because im somewhat shy	0
i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic	1
i feel like i just dont have it in me to keep loving him and he deals me a card and it says mercy	1
i also have an amazing community of friends and artists that i feel accepted by and with whom i know i belong	1
i feel apprehensive about the ride ahead	0
i feel invigorated when something is refreshed	1
i will never make him feel disliked and like he is a bad kid if he is only acting according to how i raised him and he is acting liek a year old child	0
im desperately trying to stay away from black so i really am feeling proud whenever i put together a colourful outfit	1
i just stayed there letting myself feel a little melancholy	0
i feel amused when i hear my neighbour use the word muze instead of mujhe and hey kay becomes zay kay	1
i feel like i ve been beaten up by an american footballer then run over by a london bus	0
i wont lie im a little worried and nervous and i feel inadequate for the job but ill just do my best thats all my heavenly father wants of me	0
i havent really talked to anyone about it in depth because i feel like im being whiney repetetive and needy	0
i feel when you are a caring person you attract other caring people into your life	1
i wasn t laying around my disgusting apartment feeling melancholy anymore	0
i feel about this band perhaps i m too distracted by the hardcore dancers flailing around	0
im sitting here in the belmont library listening to hold on tight by electric light orchestra feeling a bit of discontent	0
i am so hurt and feel so abused	0
i feel greedy part comes in	0
i feel i am suffering from several related factors that in regarding treatment acne less likely to remove scars left behind by proving your diet and extract	0
i feel privileged to be their mommy	1
i feel like an explorer in my own life radiant woman photography a href http lightsync	1
i need to feel personally valued	1
i be made to feel rotten	0
i feel resigned right now	0
i need to feel assured i need to feel secure	1
i feel invigorated and jolly	1
i feel like a paranoid stalker or something	0
i laid on my bed and tried to hide my feelings when my sweet little girl crawled onto the bed laid on top of me and said gently mommy whats bothering you	1
i feel honoured that she has chosen to share this with me	1
i know about bigger kids than her so i dont take for granted that shell turn out any smarter than the average kid and i feel no need to tell her shes smart	1
i feel a little glad that others are having a hard time	1
i feel really successful for the fact that i read series books this summer that actually counted for the challenge finishing six total series	1
im well chuffed made me feel fab straight away	1
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me	1
i understand that some of you will now feel a bit disturbed and unsure at this point	0
