X_text,X_emb,y_text,y_emb
receive errors,1110111010001101010010,errors determining,0110101001000100001010
errors determining,0110101001000100001010,determining expected,0010000101001111000000
determining expected,0010000101001111000000,expected data,0111100000000101100011
expected data,0111100000000101100011,data received,0010110001111101111100
data received,0010110001111101111100,received accumulation,1110111110000000011100
received accumulation,1110111110000000011100,accumulation error,0000001110001101010011
accumulation error,0000001110001101010011,error statistics,0110101001110111111111
error statistics,0110101001110111111111,statistics comparison,1011111111100111100101
statistics comparison,1011111111100111100101,comparison tolerances,0011110010110010011000
comparison tolerances,0011110010110010011000,tolerances reporting,1001001100011100110010
tolerances reporting,1001001100011100110010,reporting tolerance,1110011001010010001000
reporting tolerance,1110011001010010001000,tolerance conditions,1001000100000111010001
tolerance conditions,1001000100000111010001,conditions input,0011101000101011001111
conditions input,0011101000101011001111,input data,0101100111100101100011
input data,0101100111100101100011,data management,0010110001111000010010
data management,0010110001111000010010,management shall,1100001001010101110100
management shall,1100001001010101110100,shall store,1010111010010111101110
shall store,1010111010010111101110,store input,1011110111001011001111
store input,1011110111001011001111,input data,0101100111100101100011
input data,0101100111100101100011,data records,0010110001111101101110
data records,0010110001111101101110,records memory,1110110111011000100010
records memory,1110110111011000100010,memory buffer,1100010001000010010111
memory buffer,1100010001000010010111,buffer track,0001001011110010011100
buffer track,0001001011110010011100,track buffer,1001001110000010010111
track buffer,1001001110000010010111,buffer locations,0001001011101000000101
buffer locations,0001001011101000000101,locations input,0100000010101011001111
locations input,0100000010101011001111,input data,0101100111100101100011
input data,0101100111100101100011,data data,0010110001100101100011
data data,0010110001100101100011,data processing,0010110001111111110001
data processing,0010110001111111110001,processing complete,1111111000100111101001
report buffer,1110011011100010010111,buffer overflow,0001001011111010101000
buffer overflow,0001001011111010101000,overflow conditions,1101010100000111010001
overflow conditions,1101010100000111010001,conditions processing,0011101000111111110001
conditions processing,0011101000111111110001,processing management,1111111000111000010010
processing management,1111111000111000010010,management shall,1100001001010101110100
management shall,1100001001010101110100,shall respond,1010111010011100001111
shall respond,1010111010011100001111,respond incoming,1110000111101011111100
respond incoming,1110000111101011111100,incoming correlator,0101111110000101011111
incoming correlator,0101111110000101011111,correlator mode,0010101111111001110100
correlator mode,0010101111111001110100,mode changes,1100111010000110011110
mode changes,1100111010000110011110,changes user,0011001111010011110010
changes user,0011001111010011110010,user optional,1001111001011010100000
user optional,1001111001011010100000,optional processing,1101010000011111110001
optional processing,1101010000011111110001,processing sequence,1111111000110101101010
processing sequence,1111111000110101101010,sequence andor,1010110101000001011111
sequence andor,1010110101000001011111,andor parameter,0000101111111010110001
andor parameter,0000101111111010110001,parameter changes,1101011000100110011110
parameter changes,1101011000100110011110,changes external,0011001111001111001111
changes external,0011001111001111001111,external inputs,0111100111101011001101
external inputs,0111100111101011001101,inputs affect,0101100110100001101101
inputs affect,0101100110100001101101,affect data,0000110110100101100011
affect data,0000110110100101100011,data processing,0010110001111111110001
data processing,0010110001111111110001,processing pipeline,1111111000111110011001
update internal,1001111100001001011011,internal parameter,0100101101111010110001
internal parameter,0100101101111010110001,parameter tables,1101011000110110010111
parameter tables,1101011000110110010111,tables synchronize,1011001011110110010000
tables synchronize,1011001011110110010000,synchronize data,1011001000000101100011
synchronize data,1011001000000101100011,data processing,0010110001111111110001
data processing,0010110001111111110001,processing pipeline,1111111000111110011001
processing pipeline,1111111000111110011001,pipeline evla,1111001100101101011000
pipeline evla,1111001100101101011000,evla operations,0110101100011011100011
evla operations,0110101100011011100011,operations system,1101110001110110010001
operations system,1101110001110110010001,system srs,1011001000110111011100
system srs,1011001000110111011100,srs new,1011101110011011001100
srs new,1011101110011011001100,new operational,1101100110011011100010
new operational,1101100110011011100010,operational conditions,1101110001000111010001
operational conditions,1101110001000111010001,conditions time,0011101000110010001101
conditions time,0011101000110010001101,time series,1001000110110101101001
time series,1001000110110101101001,series assembly,1010110100100011011000
series assembly,1010110100100011011000,assembly shall,0001101100010101110100
assembly shall,0001101100010101110100,shall assemble,1010111010000011001000
shall assemble,1010111010000011001000,assemble received,0001100100011101111100
assemble received,0001100100011101111100,received input,1110111110001011001111
received input,1110111110001011001111,input data,0101100111100101100011
input data,0101100111100101100011,data continuous,0010110001100101000110
data continuous,0010110001100101000110,continuous time,0010100011010010001101
continuous time,0010100011010010001101,time series,1001000110110101101001
time series,1001000110110101101001,series lag,1010110100101000100100
series lag,1010110100101000100100,lag sets,0100010010010101111101
lag sets,0100010010010101111101,sets data,1010111110100101100011
sets data,1010111110100101100011,data integrity,0010110001101001000001
data integrity,0010110001101001000001,integrity verification,0100100000110011001100
integrity verification,0100100000110011001100,verification shall,1001100110010101110100
verification shall,1001100110010101110100,shall ensure,1010111010001101111111
shall ensure,1010111010001101111111,ensure time,0110111111110010001101
ensure time,0110111111110010001101,time series,1001000110110101101001
time series,1001000110110101101001,series data,1010110100100101100011
series data,1010110100100101100011,data correctly,0010110001100101011001
data correctly,0010110001100101011001,correctly ordered,0010101100111010100110
correctly ordered,0010101100111010100110,ordered contains,1101010011000111000001
ordered contains,1101010011000111000001,contains valid,0011100000110011011011
contains valid,0011100000110011011011,valid data,1001101101100101100011
valid data,1001101101100101100011,data values,0010110001110011001011
data values,0010110001110011001011,values along,1001100101100001110011
values along,1001100101100001110011,along entire,0000111001101101110101
along entire,0000111001101101110101,entire extent,0110111010101111001101
compare tolerances,0011110011010010011000,tolerances report,1001001100011100110111
tolerances report,1001001100011100110111,report tolerance,1110011011110010001000
report tolerance,1110011011110010001000,tolerance conditions,1001000100000111010001
tolerance conditions,1001000100000111010001,conditions data,0011101000100101100011
conditions data,0011101000100101100011,data invalid,0010110001101001010001
data invalid,0010110001101001010001,invalid shall,0100101000110101110100
invalid shall,0100101000110101110100,shall replace,1010111010011100111011
shall replace,1010111010011100111011,replace invalid,1110011101101001010001
replace invalid,1110011101101001010001,invalid data,0100101000100101100011
invalid data,0100101000100101100011,data zero,0010110001110001100111
data zero,0010110001110001100111,zero values,1000110011110011001011
zero values,1000110011110011001011,values data,1001100101100101100011
values data,1001100101100101100011,data invalid,0010110001101001010001
data invalid,0010110001101001010001,invalid count,0100101000100101010111
invalid count,0100101000100101010111,count shall,0010101011110101110100
count shall,0010101011110101110100,shall keep,1010111010001001100101
shall keep,1010111010001001100101,keep track,0100110010110010011100
keep track,0100110010110010011100,track data,1001001110000101100011
track data,1001001110000101100011,data invalids,0010110001101001010000
data invalids,0010110001101001010000,invalids normalization,0100101000011011011101
invalids normalization,0100101000011011011101,normalization shall,1101101110110101110100
normalization shall,1101101110110101110100,shall able,1010111010000000000011
shall able,1010111010000000000011,able apply,0000000001100001000110
able apply,0000000001100001000110,apply normalizations,0000100011011011011100
apply normalizations,0000100011011011011100,normalizations based,1101101110000010100000
normalizations based,1101101110000010100000,based reported,0001010000011100110110
based reported,0001010000011100110110,reported data,1110011011000101100011
reported data,1110011011000101100011,data invalid,0010110001101001010001
data invalid,0010110001101001010001,invalid counts,0100101000100101010010
invalid counts,0100101000100101010010,counts coarse,0010101001000110111011
counts coarse,0010101001000110111011,coarse quantization,0011011101111101000101
coarse quantization,0011011101111101000101,quantization correction,1110100010100101001000
quantization correction,1110100010100101001000,correction shall,0010100100010101110100
correction shall,0010100100010101110100,shall able,1010111010000000000011
shall able,1010111010000000000011,able apply,0000000001100001000110
able apply,0000000001100001000110,apply corrections,0000100011000101011000
apply corrections,0000100011000101011000,corrections based,0010101100000010100000
corrections based,0010101100000010100000,based state,0001010000010111110110
based state,0001010000010111110110,state count,1011111011000101010111
state count,1011111011000101010111,count andor,0010101011100001011111
count andor,0010101011100001011111,andor quantizer,0000101111111101000100
andor quantizer,0000101111111101000100,quantizer power,1110100010011110101010
quantizer power,1110100010011110101010,power measurement,1111010101011000101001
power measurement,1111010101011000101001,measurement data,1100010100100101100011
vanvleck correction,1001100101000101001000,correction time,0010100100010010001101
correction time,0010100100010010001101,time stamp,1001000110110111010110
time stamp,1001000110110111010110,stamp adjustment,1011101011000000100010
stamp adjustment,1011101011000000100010,adjustment shall,0000010001010101110100
adjustment shall,0000010001010101110100,shall able,1010111010000000000011
shall able,1010111010000000000011,able make,0000000001111000011110
able make,0000000001111000011110,make time,1100001111010010001101
make time,1100001111010010001101,time stamp,1001000110110111010110
time stamp,1001000110110111010110,stamp adjustments,1011101011000000100011
stamp adjustments,1011101011000000100011,adjustments required,0000010001111100010110
adjustments required,0000010001111100010110,required observational,1110001011011011110000
required observational,1110001011011011110000,observational mode,1101111000011001110100
observational mode,1101111000011001110100,mode correlator,1100111010000101011111
mode correlator,1100111010000101011111,correlator output,0010101111111010101010
correlator output,0010101111111010101010,output parameters,1101010101011010110000
arise recirculation,0001100110011101111110,recirculation used,1110111111010011110111
recirculation used,1110111111010011110111,used windowing,1001111011110001110111
used windowing,1001111011110001110111,windowing shall,1000111011110101110100
windowing shall,1000111011110101110100,shall able,1010111010000000000011
shall able,1010111010000000000011,able perform,0000000001111010000111
able perform,0000000001111010000111,perform windowing,1101000011110001110111
perform windowing,1101000011110001110111,windowing operations,1000111011111011100011
windowing operations,1000111011111011100011,operations prior,1101110001111111111001
operations prior,1101110001111111111001,prior subsequent,1111111100110110101100
prior subsequent,1111111100110110101100,subsequent fourier,1011010110001110101111
subsequent fourier,1011010110001110101111,fourier transform,0111010111110010010000
needed narrow,1101100000011001001101,narrow band,1100100110100011100110
narrow band,1100100110100011100110,band rfi,0001110011010100001010
band rfi,0001110011010100001010,rfi mitigation,1010000101011001111111
post fourier,1111011101001110101111,fourier transform,0111010111110010010000
fourier transform,0111010111110010010000,transform windowing,1001001000010001110111
transform windowing,1001001000010001110111,windowing applied,1000111011100001000111
windowing applied,1000111011100001000111,applied convolution,0000100011100101001110
applied convolution,0000100011100101001110,convolution time,0010100111010010001101
convolution time,0010100111010010001101,time domain,1001000110101100010111
time domain,1001000110101100010111,domain processing,0110001011111111110001
domain processing,0110001011111111110001,processing shall,1111111000110101110100
processing shall,1111111000110101110100,shall able,1010111010000000000011
shall able,1010111010000000000011,able apply,0000000001100001000110
able apply,0000000001100001000110,apply user,0000100011010011110010
apply user,0000100011010011110010,user selected,1001111001010100100001
user selected,1001111001010100100001,selected time,1010010000110010001101
selected time,1010010000110010001101,time domain,1001000110101100010111
time domain,1001000110101100010111,domain processes,0110001011111111110011
processes constructed,1111111001100111000101,constructed chainable,0011100010100110011001
constructed chainable,0011100010100110011001,chainable output,0011001100111010101010
chainable output,0011001100111010101010,output time,1101010101010010001101
output time,1101010101010010001101,time domain,1001000110101100010111
time domain,1001000110101100010111,domain process,0110001011111111110110
domain process,0110001011111111110110,process piped,1111111011011110011000
process piped,1111111011011110011000,piped input,1111001100001011001111
piped input,1111001100001011001111,input including,0101100111101011111101
input including,0101100111101011111101,including replica,0101111110111100111101
including replica,0101111110111100111101,replica self,1110011110110101100001
replica self,1110011110110101100001,self fourier,1010110000101110101111
self fourier,1010110000101110101111,fourier transform,0111010111110010010000
fourier transform,0111010111110010010000,transform repeatable,1001001000011100111001
transform repeatable,1001001000011100111001,repeatable chain,1110011100100110011000
optional time,1101010000010010001101,time domain,1001000110101100010111
time domain,1001000110101100010111,domain processes,0110001011111111110011
domain processes,0110001011111111110011,processes yet,1111111001110001100101
processes yet,1111111001110001100101,yet proposed,1000110010111111001110
yet proposed,1000110010111111001110,proposed fourier,1111100111001110101111
proposed fourier,1111100111001110101111,fourier transform,0111010111110010010000
fourier transform,0111010111110010010000,transform processing,1001001000011111110001
transform processing,1001001000011111110001,processing shall,1111111000110101110100
processing shall,1111111000110101110100,shall able,1010111010000000000011
shall able,1010111010000000000011,able perform,0000000001111010000111
able perform,0000000001111010000111,perform fourier,1101000011101110101111
perform fourier,1101000011101110101111,fourier transform,0111010111110010010000
fourier transform,0111010111110010010000,transform lag,1001001000001000100100
transform lag,1001001000001000100100,lag set,0100010010010101111111
lag set,0100010010010101111111,set time,1010111111110010001101
set time,1010111111110010001101,time series,1001000110110101101001
poweroftwo complextocomplex,1111010111000111111001,complextocomplex fast,0011111100101111011101
complextocomplex fast,0011111100101111011101,fast fourier,0111101110101110101111
fast fourier,0111101110101110101111,fourier transform,0111010111110010010000
fourier transform,0111010111110010010000,transform retention,1001001000010100000011
transform retention,1001001000010100000011,retention output,1010000001111010101010
retention output,1010000001111010101010,output positive,1101010101011110111101
output positive,1101010101011110111101,positive negative,1111011110111011000011
positive negative,1111011110111011000011,negative frequencies,1101100001101110111011
negative frequencies,1101100001101110111011,frequencies used,0111011101110011110111
process must,1111111011011001011000,must able,1100101100000000000011
must able,1100101100000000000011,able accept,0000000001100000000101
able accept,0000000001100000000101,accept input,0000000010101011001111
accept input,0000000010101011001111,input output,0101100111111010101010
input output,0101100111111010101010,output time,1101010101010010001101
output time,1101010101010010001101,time domain,1001000110101100010111
time domain,1001000110101100010111,domain processes,0110001011111111110011
domain processes,0110001011111111110011,processes frequency,1111111001101110111010
processes frequency,1111111001101110111010,frequency domain,0111011101001100010111
frequency domain,0111011101001100010111,domain processing,0110001011111111110001
domain processing,0110001011111111110001,processing shall,1111111000110101110100
processing shall,1111111000110101110100,shall able,1010111010000000000011
shall able,1010111010000000000011,able apply,0000000001100001000110
able apply,0000000001100001000110,apply user,0000100011010011110010
apply user,0000100011010011110010,user selected,1001111001010100100001
user selected,1001111001010100100001,selected frequency,1010010000101110111010
selected frequency,1010010000101110111010,frequency domain,0111011101001100010111
frequency domain,0111011101001100010111,domain processes,0110001011111111110011
processes constructed,1111111001100111000101,constructed chainable,0011100010100110011001
constructed chainable,0011100010100110011001,chainable output,0011001100111010101010
chainable output,0011001100111010101010,output fourier,1101010101001110101111
output fourier,1101010101001110101111,fourier transform,0111010111110010010000
fourier transform,0111010111110010010000,transform frequency,1001001000001110111010
transform frequency,1001001000001110111010,frequency domain,0111011101001100010111
frequency domain,0111011101001100010111,domain process,0110001011111111110110
domain process,0110001011111111110110,process piped,1111111011011110011000
process piped,1111111011011110011000,piped input,1111001100001011001111
piped input,1111001100001011001111,input frequency,0101100111101110111010
input frequency,0101100111101110111010,frequency domain,0111011101001100010111
frequency domain,0111011101001100010111,domain process,0110001011111111110110
domain process,0110001011111111110110,process including,1111111011001011111101
process including,1111111011001011111101,including replica,0101111110111100111101
including replica,0101111110111100111101,replica self,1110011110110101100001
replica self,1110011110110101100001,self repeatable,1010110000111100111001
self repeatable,1010110000111100111001,repeatable chain,1110011100100110011000
frequency domain,0111011101001100010111,domain processes,0110001011111111110011
domain processes,0110001011111111110011,processes yet,1111111001110001100101
processes yet,1111111001110001100101,yet proposed,1000110010111111001110
yet proposed,1000110010111111001110,proposed integration,1111100111001001000000
proposed integration,1111100111001001000000,integration shall,0100100000010101110100
integration shall,0100100000010101110100,shall able,1010111010000000000011
shall able,1010111010000000000011,able sum,0000000001110110111000
able sum,0000000001110110111000,sum frequency,1011011100001110111010
sum frequency,1011011100001110111010,frequency domain,0111011101001100010111
frequency domain,0111011101001100010111,domain spectral,0110001011110111001000
domain spectral,0110001011110111001000,spectral results,1011100100010100000000
amount time,0000101010110010001101,time duration,1001000110101100111100
time duration,1001000110101100111100,duration summation,0110011110010110111001
duration summation,0110011110010110111001,summation controlled,1011011100100101000101
summation controlled,1011011100100101000101,controlled observational,0010100010111011110000
controlled observational,0010100010111011110000,observational mode,1101111000011001110100
observational mode,1101111000011001110100,mode parameter,1100111010011010110001
mode parameter,1100111010011010110001,parameter obtained,1101011000111011110010
parameter obtained,1101011000111011110010,obtained via,1101111001010011000010
obtained via,1101111001010011000010,via mc,1001100001011000111011
shall keep,1010111010001001100101,keep track,0100110010110010011100
keep track,0100110010110010011100,track number,1001001110011011010011
track number,1001001110011011010011,number samplesdumps,1101101001110100010011
number samplesdumps,1101101001110100010011,samplesdumps integrated,1010001001101011000000
samplesdumps integrated,1010001001101011000000,integrated spectral,0101100000010111001000
integrated spectral,0101100000010111001000,spectral channel,1011100100000110011101
summation occur,1011011100111011110110,occur optional,1101111011011010100000
occur optional,1101111011011010100000,optional frequency,1101010000001110111010
optional frequency,1101010000001110111010,frequency domain,0111011101001100010111
frequency domain,0111011101001100010111,domain processing,0110001011111111110001
domain processing,0110001011111111110001,processing none,1111111000111011001011
processing none,1111111000111011001011,none fourier,1101100101101110101111
none fourier,1101100101101110101111,fourier transform,0111010111110010010000
integration long,0100100000011000000001,long periods,1100000000111110000001
long periods,1100000000111110000001,periods time,1111000000110010001101
periods time,1111000000110010001101,time throttle,1001000110110010000101
time throttle,1001000110110010000101,throttle output,1001000010111010101010
throttle output,1001000010111010101010,output correlator,1101010101000101011111
output correlator,1101010101000101011111,correlator rate,0010101111111101011000
correlator rate,0010101111111101011000,rate manageable,1110101100011000010111
rate manageable,1110101100011000010111,manageable ee,1100001011101100101010
manageable ee,1100001011101100101010,ee output,0110010101011010101010
ee output,0110010101011010101010,output formatting,1101010101001110100010
output formatting,1101010101001110100010,formatting shall,0111010001010101110100
formatting shall,0111010001010101110100,shall combine,1010111010000110100111
shall combine,1010111010000110100111,combine finished,0011010011101111111111
combine finished,0011010011101111111111,finished spectra,0111111111110111001001
